,age,fnlwgt,education.num,marital.status,occupation,relationship,hours.per.week
0,90,77053,9,Widowed,Prof-specialty,Not-in-family,40
1,82,132870,9,Widowed,Exec-managerial,Not-in-family,18
2,66,186061,10,Widowed,Prof-specialty,Unmarried,40
3,54,140359,4,Divorced,Machine-op-inspct,Unmarried,40
4,41,264663,10,Separated,Prof-specialty,Own-child,40
5,34,216864,9,Divorced,Other-service,Unmarried,45
6,38,150601,6,Separated,Adm-clerical,Unmarried,40
7,74,88638,16,Never-married,Prof-specialty,Other-relative,20
8,68,422013,9,Divorced,Prof-specialty,Not-in-family,40
9,41,70037,10,Never-married,Craft-repair,Unmarried,60
10,45,172274,16,Divorced,Prof-specialty,Unmarried,35
11,38,164526,15,Never-married,Prof-specialty,Not-in-family,45
12,52,129177,13,Widowed,Other-service,Not-in-family,20
13,32,136204,14,Separated,Exec-managerial,Not-in-family,55
14,51,172175,16,Never-married,Prof-specialty,Not-in-family,40
15,46,45363,15,Divorced,Prof-specialty,Not-in-family,40
16,45,172822,7,Divorced,Transport-moving,Not-in-family,76
17,57,317847,14,Divorced,Exec-managerial,Not-in-family,50
18,22,119592,12,Never-married,Handlers-cleaners,Not-in-family,40
19,34,203034,13,Separated,Sales,Not-in-family,50
20,37,188774,13,Never-married,Exec-managerial,Not-in-family,40
21,29,77009,7,Separated,Sales,Not-in-family,42
22,61,29059,9,Divorced,Sales,Unmarried,25
23,51,153870,10,Married-civ-spouse,Transport-moving,Husband,40
24,61,135285,9,Married-civ-spouse,Prof-specialty,Husband,32
25,21,34310,11,Married-civ-spouse,Craft-repair,Husband,40
26,33,228696,2,Married-civ-spouse,Craft-repair,Not-in-family,32
27,49,122066,3,Married-civ-spouse,Other-service,Husband,40
28,37,107164,6,Never-married,Transport-moving,Not-in-family,50
29,38,175360,6,Never-married,Prof-specialty,Not-in-family,90
30,23,44064,10,Separated,Other-service,Not-in-family,40
31,59,107287,6,Widowed,Exec-managerial,Unmarried,50
32,52,198863,15,Divorced,Exec-managerial,Not-in-family,60
33,51,123011,13,Divorced,Exec-managerial,Not-in-family,50
34,60,205246,9,Never-married,Exec-managerial,Not-in-family,50
35,63,39181,16,Divorced,Exec-managerial,Not-in-family,60
36,53,149650,9,Never-married,Sales,Not-in-family,48
37,51,197163,15,Never-married,Prof-specialty,Not-in-family,50
38,37,137527,16,Never-married,Prof-specialty,Not-in-family,60
39,54,161691,14,Divorced,Prof-specialty,Not-in-family,40
40,44,326232,13,Divorced,Exec-managerial,Unmarried,50
41,43,115806,14,Divorced,Exec-managerial,Unmarried,40
42,51,115066,10,Divorced,Adm-clerical,Unmarried,40
43,43,289669,14,Divorced,Prof-specialty,Unmarried,40
44,71,100820,9,Married-civ-spouse,Prof-specialty,Husband,15
45,48,121253,13,Married-spouse-absent,Sales,Unmarried,70
46,71,110380,9,Married-civ-spouse,Sales,Husband,52
47,73,233882,9,Married-civ-spouse,Farming-fishing,Husband,40
48,68,192052,10,Married-civ-spouse,Prof-specialty,Wife,40
49,67,174995,10,Married-civ-spouse,Prof-specialty,Husband,40
50,40,335549,15,Never-married,Prof-specialty,Not-in-family,45
51,50,237729,9,Widowed,Sales,Not-in-family,72
52,51,68898,11,Divorced,Tech-support,Not-in-family,39
53,42,107276,10,Never-married,Exec-managerial,Not-in-family,40
54,39,141584,14,Never-married,Sales,Not-in-family,45
55,32,207668,13,Never-married,Exec-managerial,Other-relative,50
